epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4588,1.36653,3.52938,1.44222,0.01399,0.6605,0.17003,0.11155,0.98158,3.47729,1.14551,7.5e-05,7.5e-05,7.5e-05
2,118.988,1.28087,3.23644,1.30572,0.01654,0.78404,0.28632,0.22104,0.89123,3.36433,1.0752,0.000108875,0.000108875,0.000108875
3,172.566,1.18602,2.85644,1.2845,0.0181,0.85695,0.31521,0.24642,0.8285,3.27772,1.02364,8.5e-05,8.5e-05,8.5e-05
